"","exp(coef)","exp(-coef)","lower .95","upper .95"
"BSPT_IDGN_AGE",1.05995112068138,0.943439730840761,1.04950681397284,1.07049936529787
"CEA",1.00012057319465,0.999879441341488,1.00009444839906,1.00014669867269
"OPRT_CNTS",0.556116944095371,1.79818293727174,0.431683460875163,0.716418588015837
"TRTN_CNT",0.72477908653717,1.37973076013792,0.572455103507667,0.917634799764904
